omega_p, tau_s, d_p, d_s, ratio, F_sp, F_flyarm, F_ss, F_helix, sum_F
201.723318, 71.049264, 0.005000, 0.012234, 1.679313, 352.793010, 450.900198, 147.383800, 1250.438457, 3667.249645
201.723318, 85.259117, 0.000000, 0.008492, 3.905374, 300.254959, 450.900198, 134.277919, 1475.499241, 3477.329571
201.723318, 99.468970, 0.000000, 0.008492, 3.905374, 300.254959, 450.900198, 134.277919, 1713.145232, 4074.523149
201.723318, 113.678823, 0.000000, 0.008492, 3.905374, 300.254959, 450.900198, 134.277919, 1950.791222, 4671.716728
201.723318, 127.888676, 0.000000, 0.008492, 3.905374, 300.254959, 450.900198, 134.277919, 2188.437212, 5268.910306
201.723318, 142.098529, 0.000000, 0.008492, 3.905374, 300.254959, 450.900198, 134.277919, 2426.083203, 5866.103885
201.723318, 156.308381, 0.000000, 0.008492, 3.905374, 300.254959, 450.900198, 134.277919, 2663.729193, 6463.297463
201.723318, 170.518234, 0.000000, 0.008492, 3.905374, 300.254959, 450.900198, 134.277919, 2901.375183, 7060.491042
201.723318, 184.728087, 0.000000, 0.008492, 3.905374, 300.254959, 450.900198, 134.277919, 3139.021174, 7657.684620
201.723318, 198.937940, 0.000000, 0.008492, 3.905374, 300.254959, 450.900198, 134.277919, 3376.667164, 8254.878199
201.723318, 213.147793, 0.000000, 0.008492, 3.905374, 300.254959, 450.900198, 134.277919, 3614.313154, 8852.071777
201.723318, 227.357646, 0.000000, 0.008492, 3.905374, 300.254959, 450.900198, 134.277919, 3851.959145, 9449.265356
201.723318, 241.567499, 0.000000, 0.008492, 3.905374, 300.254959, 450.900198, 134.277919, 4089.605135, 10046.458934
201.723318, 255.777351, 0.000000, 0.008492, 3.905374, 300.254959, 450.900198, 134.277919, 4327.251125, 10643.652513
201.723318, 269.987204, 0.000000, 0.008492, 3.905374, 300.254959, 450.900198, 134.277919, 4564.897116, 11240.846091
208.337197, 0.000000, 0.003326, 0.010886, 2.153054, 335.207703, 490.515586, 142.660149, 57.672516, 0.005222
208.337197, 14.209853, 0.005000, 0.012234, 1.679313, 352.793010, 480.952133, 147.383800, 299.854495, 842.434270
208.337197, 28.419706, 0.005000, 0.012234, 1.679313, 352.793010, 480.952133, 147.383800, 537.500486, 1522.946482
208.337197, 42.629559, 0.005000, 0.012234, 1.679313, 352.793010, 480.952133, 147.383800, 775.146476, 2203.458695
208.337197, 56.839411, 0.005000, 0.012234, 1.679313, 352.793010, 480.952133, 147.383800, 1012.792466, 2883.970907
208.337197, 71.049264, 0.005000, 0.012234, 1.679313, 352.793010, 480.952133, 147.383800, 1250.438457, 3564.483120
208.337197, 85.259117, 0.005000, 0.012234, 1.679313, 352.793010, 480.952133, 147.383800, 1488.084447, 4244.995332
208.337197, 99.468970, 0.000000, 0.008492, 3.905374, 300.254959, 480.952133, 134.277919, 1713.145232, 3961.220422
208.337197, 113.678823, 0.000000, 0.008492, 3.905374, 300.254959, 480.952133, 134.277919, 1950.791222, 4558.414000
