omega_p, tau_s, d_p, d_s, ratio, F_sp, F_flyarm, F_ss, F_helix
201.723318, 412.085733, 0.000000, 0.008492, 3.905374, 300.254959, 3197.878367, 134.277919, 6941.357019
201.723318, 426.295586, 0.000000, 0.008492, 3.905374, 300.254959, 3197.878367, 134.277919, 7179.003010
201.723318, 440.505439, 0.000000, 0.008492, 3.905374, 300.254959, 3197.878367, 134.277919, 7416.649000
201.723318, 454.715292, 0.000000, 0.008492, 3.905374, 300.254959, 3197.878367, 134.277919, 7654.294990
201.723318, 468.925144, 0.000000, 0.008492, 3.905374, 300.254959, 3197.878367, 134.277919, 7891.940981
201.723318, 483.134997, 0.000000, 0.008492, 3.905374, 300.254959, 3197.878367, 134.277919, 8129.586971
201.723318, 497.344850, 0.000000, 0.008492, 3.905374, 300.254959, 3197.878367, 134.277919, 8367.232961
201.723318, 511.554703, 0.000000, 0.008492, 3.905374, 300.254959, 3197.878367, 134.277919, 8604.878952
201.723318, 525.764556, 0.000000, 0.008492, 3.905374, 300.254959, 3197.878367, 134.277919, 8842.524942
201.723318, 539.974409, 0.000000, 0.008492, 3.905374, 300.254959, 3197.878367, 134.277919, 9080.170932
208.337197, 269.987204, 0.000000, 0.008492, 3.905374, 300.254959, 3411.012964, 134.277919, 4564.897116
208.337197, 284.197057, 0.000000, 0.008492, 3.905374, 300.254959, 3411.012964, 134.277919, 4802.543106
208.337197, 298.406910, 0.000000, 0.008492, 3.905374, 300.254959, 3411.012964, 134.277919, 5040.189097
208.337197, 312.616763, 0.000000, 0.008492, 3.905374, 300.254959, 3411.012964, 134.277919, 5277.835087
208.337197, 326.826616, 0.000000, 0.008492, 3.905374, 300.254959, 3411.012964, 134.277919, 5515.481077
208.337197, 341.036469, 0.000000, 0.008492, 3.905374, 300.254959, 3411.012964, 134.277919, 5753.127068
208.337197, 355.246322, 0.000000, 0.008492, 3.905374, 300.254959, 3411.012964, 134.277919, 5990.773058
208.337197, 369.456174, 0.000000, 0.008492, 3.905374, 300.254959, 3411.012964, 134.277919, 6228.419048
208.337197, 383.666027, 0.000000, 0.008492, 3.905374, 300.254959, 3411.012964, 134.277919, 6466.065039
208.337197, 397.875880, 0.000000, 0.008492, 3.905374, 300.254959, 3411.012964, 134.277919, 6703.711029
208.337197, 412.085733, 0.000000, 0.008492, 3.905374, 300.254959, 3411.012964, 134.277919, 6941.357019
208.337197, 426.295586, 0.000000, 0.008492, 3.905374, 300.254959, 3411.012964, 134.277919, 7179.003010
208.337197, 440.505439, 0.000000, 0.008492, 3.905374, 300.254959, 3411.012964, 134.277919, 7416.649000
208.337197, 454.715292, 0.000000, 0.008492, 3.905374, 300.254959, 3411.012964, 134.277919, 7654.294990
208.337197, 468.925144, 0.000000, 0.008492, 3.905374, 300.254959, 3411.012964, 134.277919, 7891.940981
208.337197, 483.134997, 0.000000, 0.008492, 3.905374, 300.254959, 3411.012964, 134.277919, 8129.586971
208.337197, 497.344850, 0.000000, 0.008492, 3.905374, 300.254959, 3411.012964, 134.277919, 8367.232961
