omega_p, tau_s, d_p, d_s, ratio
214.951076, 426.295586, 0.010000, 0.016963, 0.829905
214.951076, 454.715292, 0.010000, 0.016963, 0.829905
214.951076, 483.134997, 0.010000, 0.016963, 0.829905
214.951076, 511.554703, 0.010000, 0.016963, 0.829905
214.951076, 539.974409, 0.010000, 0.016963, 0.829905
221.564956, 0.000000, 0.010000, 0.016963, 0.829905
221.564956, 28.419706, 0.010000, 0.016963, 0.829905
221.564956, 56.839411, 0.010000, 0.016963, 0.829905
221.564956, 85.259117, 0.010000, 0.016963, 0.829905
221.564956, 113.678823, 0.010000, 0.016963, 0.829905
221.564956, 142.098529, 0.002240, 0.010064, 2.563778
221.564956, 170.518234, 0.006343, 0.013395, 1.389775
221.564956, 198.937940, 0.009614, 0.016555, 0.878252
221.564956, 227.357646, 0.010000, 0.016963, 0.829905
221.564956, 255.777351, 0.010000, 0.016963, 0.829905
221.564956, 284.197057, 0.010000, 0.016963, 0.829905
221.564956, 312.616763, 0.010000, 0.016963, 0.829905
221.564956, 341.036469, 0.010000, 0.016963, 0.829905
221.564956, 369.456174, 0.010000, 0.016963, 0.829905
221.564956, 397.875880, 0.010000, 0.016963, 0.829905
221.564956, 426.295586, 0.010000, 0.016963, 0.829905
221.564956, 454.715292, 0.010000, 0.016963, 0.829905
221.564956, 483.134997, 0.010000, 0.016963, 0.829905
221.564956, 511.554703, 0.010000, 0.016963, 0.829905
221.564956, 539.974409, 0.010000, 0.016963, 0.829905
228.178835, 0.000000, 0.010000, 0.016963, 0.829905
228.178835, 28.419706, 0.010000, 0.016963, 0.829905
228.178835, 56.839411, 0.010000, 0.016963, 0.829905
228.178835, 85.259117, 0.010000, 0.016963, 0.829905
228.178835, 113.678823, 0.010000, 0.016963, 0.829905
228.178835, 142.098529, 0.000662, 0.008941, 3.408996
228.178835, 170.518234, 0.004799, 0.012067, 1.728595
228.178835, 198.937940, 0.008161, 0.015089, 1.079659
228.178835, 227.357646, 0.010000, 0.016963, 0.829905
228.178835, 255.777351, 0.010000, 0.016963, 0.829905
228.178835, 284.197057, 0.010000, 0.016963, 0.829905
228.178835, 312.616763, 0.010000, 0.016963, 0.829905
228.178835, 341.036469, 0.010000, 0.016963, 0.829905
228.178835, 369.456174, 0.010000, 0.016963, 0.829905
228.178835, 397.875880, 0.010000, 0.016963, 0.829905
228.178835, 426.295586, 0.010000, 0.016963, 0.829905
228.178835, 454.715292, 0.010000, 0.016963, 0.829905
228.178835, 483.134997, 0.010000, 0.016963, 0.829905
228.178835, 511.554703, 0.010000, 0.016963, 0.829905
228.178835, 539.974409, 0.010000, 0.016963, 0.829905
234.792714, 0.000000, 0.010000, 0.016963, 0.829905
234.792714, 28.419706, 0.010000, 0.016963, 0.829905
234.792714, 56.839411, 0.010000, 0.016963, 0.829905
234.792714, 85.259117, 0.010000, 0.016963, 0.829905
234.792714, 113.678823, 0.010000, 0.016963, 0.829905
234.792714, 142.098529, 0.010000, 0.016963, 0.829905
234.792714, 170.518234, 0.003296, 0.010862, 2.163090
234.792714, 198.937940, 0.006723, 0.013737, 1.318206
234.792714, 227.357646, 0.009535, 0.016472, 0.888428
234.792714, 255.777351, 0.010000, 0.016963, 0.829905
234.792714, 284.197057, 0.010000, 0.016963, 0.829905
234.792714, 312.616763, 0.010000, 0.016963, 0.829905
234.792714, 341.036469, 0.010000, 0.016963, 0.829905
234.792714, 369.456174, 0.010000, 0.016963, 0.829905
234.792714, 397.875880, 0.010000, 0.016963, 0.829905
234.792714, 426.295586, 0.010000, 0.016963, 0.829905
234.792714, 454.715292, 0.010000, 0.016963, 0.829905
234.792714, 483.134997, 0.010000, 0.016963, 0.829905
234.792714, 511.554703, 0.010000, 0.016963, 0.829905
234.792714, 539.974409, 0.010000, 0.016963, 0.829905
241.406593, 0.000000, 0.010000, 0.016963, 0.829905
241.406593, 28.419706, 0.010000, 0.016963, 0.829905
