"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"Analog4"|"Volts"|0.0|5.0|500,"Analog5"|"Volts"|0.0|5.0|500,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|200,"AccelY"|"G"|-3.0|3.0|200,"AccelZ"|"G"|-3.0|3.0|200,"Yaw"|"Deg/Sec"|-120|120|200,"Pitch"|"Deg/Sec"|-120|120|200,"Roll"|"Deg/Sec"|-120|120|200,"Gsum"|"G"|0.0|3.0|200,"RPM2"|"rpm"|0|8000|50,"RPM3"|"rpm"|0|8000|50,"GPIO1"|""|0.0|1.0|50,"Latitude"|"Degrees"|-180.0|180.0|50,"Longitude"|"Degrees"|-180.0|180.0|50,"Speed"|"mph"|0.0|150.0|50,"Altitude"|"ft"|0.0|4000.0|50,"GPSSats"|""|0|20|50,"GPSQual"|""|0|5|50,"GPSDOP"|""|0.0|20.0|50
125,0,0.0,0.26,,,,,,,,,,,,,,,,,,
127,0,0.0,0.26,,,,,,,,,,,,,,,,,,
129,0,0.0,0.26,,,,,,,,,,,,,,,,,,
131,0,0.0,0.26,,,,,,,,,,,,,,,,,,
133,0,0.0,0.26,,-0.23,0.1,1.07,0,0,-0,0.25,,,,,,,,,,
135,0,0.0,0.26,,,,,,,,,,,,,,,,,,
137,0,0.0,0.26,,,,,,,,,,,,,,,,,,
139,0,0.0,0.26,,,,,,,,,,,,,,,,,,
141,0,0.0,0.26,,,,,,,,,,,,,,,,,,
143,0,0.0,0.26,,0.01,0.06,0.96,0,-1,-0,0.07,0,2040,0,0.0,0.0,0.0,0.0,0,0,0.0
145,0,0.0,0.27,,,,,,,,,,,,,,,,,,
147,0,0.0,0.28,,,,,,,,,,,,,,,,,,
149,0,0.0,0.27,,,,,,,,,,,,,,,,,,
151,0,0.0,0.27,,,,,,,,,,,,,,,,,,
153,0,0.0,0.27,,-0.07,0.09,0.93,-0,-0,-1,0.11,,,,,,,,,,
155,0,0.0,0.27,,,,,,,,,,,,,,,,,,
157,0,0.0,0.27,,,,,,,,,,,,,,,,,,
159,0,0.0,0.27,,,,,,,,,,,,,,,,,,
161,0,0.0,0.27,,,,,,,,,,,,,,,,,,
163,0,0.0,0.27,,-0.13,0.05,1.02,1,0,-0,0.14,0,2040,0,0.0,0.0,0.0,0.0,0,0,0.0
165,0,0.0,0.26,,,,,,,,,,,,,,,,,,
167,0,0.0,0.27,,,,,,,,,,,,,,,,,,
169,0,0.0,0.27,,,,,,,,,,,,,,,,,,
171,0,0.0,0.27,,,,,,,,,,,,,,,,,,
173,0,0.0,0.27,,0.06,0.03,0.96,-0,-1,-0,0.07,,,,,,,,,,
175,0,0.0,0.28,,,,,,,,,,,,,,,,,,
177,0,0.0,0.27,,,,,,,,,,,,,,,,,,
179,0,0.0,0.27,,,,,,,,,,,,,,,,,,
181,0,0.0,0.27,,,,,,,,,,,,,,,,,,
183,0,0.0,0.27,,-0.08,0.1,0.92,-0,0,-1,0.13,0,2040,0,0.0,0.0,0.0,0.0,0,0,0.0
185,0,0.0,0.27,,,,,,,,,,,,,,,,,,
187,0,0.0,0.27,,,,,,,,,,,,,,,,,,
189,0,0.0,0.27,,,,,,,,,,,,,,,,,,
191,0,0.0,0.27,,,,,,,,,,,,,,,,,,
193,0,0.0,0.27,,-0.17,0.06,1.02,0,0,-0,0.18,,,,,,,,,,
195,0,0.0,0.27,,,,,,,,,,,,,,,,,,
197,0,0.0,0.27,,,,,,,,,,,,,,,,,,
199,0,0.0,0.27,,,,,,,,,,,,,,,,,,
201,0,0.0,0.27,,,,,,,,,,,,,,,,,,
203,0,0.0,0.27,,0.04,0.08,0.99,0,-0,-0,0.09,0,2040,0,0.0,0.0,0.0,0.0,0,0,0.0
205,0,0.0,0.28,,,,,,,,,,,,,,,,,,
207,0,0.0,0.28,,,,,,,,,,,,,,,,,,
209,0,0.0,0.28,,,,,,,,,,,,,,,,,,
211,0,0.0,0.28,,,,,,,,,,,,,,,,,,
213,0,0.0,0.27,,-0.16,0.09,0.94,-0,0,-1,0.18,,,,,,,,,,
215,0,0.0,0.28,,,,,,,,,,,,,,,,,,
217,0,0.0,0.27,,,,,,,,,,,,,,,,,,
219,0,0.0,0.28,,,,,,,,,,,,,,,,,,
221,0,0.0,0.28,,,,,,,,,,,,,,,,,,
223,0,0.0,0.27,,-0.11,0.02,1.05,1,-1,-0,0.11,0,2040,0,0.0,0.0,0.0,0.0,0,0,0.0
225,0,0.0,0.28,,,,,,,,,,,,,,,,,,
227,0,0.0,0.27,,,,,,,,,,,,,,,,,,
229,0,0.0,0.28,,,,,,,,,,,,,,,,,,
231,0,0.0,0.28,,,,,,,,,,,,,,,,,,
233,0,0.0,0.29,,0.06,0.08,0.96,0,-0,-0,0.1,,,,,,,,,,
235,0,0.0,0.28,,,,,,,,,,,,,,,,,,
237,0,0.0,0.29,,,,,,,,,,,,,,,,,,
239,0,0.0,0.28,,,,,,,,,,,,,,,,,,
241,0,0.0,0.28,,,,,,,,,,,,,,,,,,
243,0,0.0,0.28,,-0.14,0.12,0.95,-0,-0,-1,0.19,0,2040,0,0.0,0.0,0.0,0.0,0,0,0.0
245,0,0.0,0.28,,,,,,,,,,,,,,,,,,
247,0,0.0,0.28,,,,,,,,,,,,,,,,,,
249,0,0.0,0.28,,,,,,,,,,,,,,,,,,
251,0,0.0,0.28,,,,,,,,,,,,,,,,,,
253,0,0.0,0.28,,-0.13,0.02,0.95,1,-1,-0,0.13,,,,,,,,,,
255,0,0.0,0.28,,,,,,,,,,,,,,,,,,
257,0,0.0,0.28,,,,,,,,,,,,,,,,,,
259,0,0.0,0.28,,,,,,,,,,,,,,,,,,
261,0,0.0,0.28,,,,,,,,,,,,,,,,,,
263,0,0.0,0.29,,0.04,0.12,0.99,-0,0,-0,0.13,0,2040,0,0.0,0.0,0.0,0.0,0,0,0.0
265,0,0.0,0.28,,,,,,,,,,,,,,,,,,
267,0,0.0,0.29,,,,,,,,,,,,,,,,,,
269,0,0.0,0.29,,,,,,,,,,,,,,,,,,
271,0,0.0,0.28,,,,,,,,,,,,,,,,,,
273,0,0.0,0.28,,-0.24,0.09,1.0,-0,0,-1,0.26,,,,,,,,,,
275,0,0.0,0.28,,,,,,,,,,,,,,,,,,
277,0,0.0,0.28,,,,,,,,,,,,,,,,,,
279,0,0.0,0.28,,,,,,,,,,,,,,,,,,
281,0,0.0,0.28,,,,,,,,,,,,,,,,,,
283,0,0.0,0.29,,-0.06,-0.0,1.03,1,-1,-0,0.06,0,2040,0,0.0,0.0,0.0,0.0,0,0,0.0
285,0,0.0,0.29,,,,,,,,,,,,,,,,,,
287,0,0.0,0.29,,,,,,,,,,,,,,,,,,
289,0,0.0,0.29,,,,,,,,,,,,,,,,,,
291,0,0.0,0.3,,,,,,,,,,,,,,,,,,
293,0,0.0,0.29,,0.01,0.06,0.93,0,0,-0,0.07,,,,,,,,,,
295,0,0.0,0.29,,,,,,,,,,,,,,,,,,
297,0,0.0,0.29,,,,,,,,,,,,,,,,,,
299,0,0.0,0.29,,,,,,,,,,,,,,,,,,
301,0,0.0,0.29,,,,,,,,,,,,,,,,,,
303,0,0.0,0.29,,-0.24,0.13,1.06,-0,-0,-1,0.27,0,2040,0,0.0,0.0,0.0,0.0,0,0,0.0
305,0,0.0,0.29,,,,,,,,,,,,,,,,,,
307,0,0.0,0.29,,,,,,,,,,,,,,,,,,
309,0,0.0,0.29,,,,,,,,,,,,,,,,,,
311,0,0.0,0.29,,,,,,,,,,,,,,,,,,
313,0,0.0,0.29,,-0.08,0.01,0.91,0,-1,0,0.08,,,,,,,,,,
315,0,0.0,0.29,,,,,,,,,,,,,,,,,,
317,0,0.0,0.29,,,,,,,,,,,,,,,,,,
319,0,0.0,0.29,,,,,,,,,,,,,,,,,,
321,0,0.0,0.3,,,,,,,,,,,,,,,,,,
323,0,0.0,0.29,,0.04,0.13,0.96,0,0,-0,0.14,0,2040,0,0.0,0.0,0.0,0.0,0,0,0.0
325,0,0.0,0.29,,,,,,,,,,,,,,,,,,
327,0,0.0,0.29,,,,,,,,,,,,,,,,,,
329,0,0.0,0.29,,,,,,,,,,,,,,,,,,
331,0,0.0,0.29,,,,,,,,,,,,,,,,,,
333,0,0.0,0.29,,-0.24,0.11,1.06,0,-0,-1,0.27,,,,,,,,,,
335,0,0.0,0.29,,,,,,,,,,,,,,,,,,
337,0,0.0,0.29,,,,,,,,,,,,,,,,,,
339,0,0.0,0.29,,,,,,,,,,,,,,,,,,
341,0,0.0,0.29,,,,,,,,,,,,,,,,,,
343,0,0.0,0.29,,0.01,-0.02,0.96,0,-1,0,0.02,0,2040,0,0.0,0.0,0.0,0.0,0,0,0.0
345,0,0.0,0.3,,,,,,,,,,,,,,,,,,
347,0,0.0,0.3,,,,,,,,,,,,,,,,,,
349,0,0.0,0.31,,,,,,,,,,,,,,,,,,
351,0,0.0,0.3,,,,,,,,,,,,,,,,,,
353,0,0.0,0.3,,-0.02,0.08,0.93,-0,0,-0,0.08,,,,,,,,,,
355,0,0.0,0.3,,,,,,,,,,,,,,,,,,
357,0,0.0,0.3,,,,,,,,,,,,,,,,,,
359,0,0.0,0.3,,,,,,,,,,,,,,,,,,
361,0,0.0,0.3,,,,,,,,,,,,,,,,,,
363,0,0.0,0.3,,-0.26,0.12,1.12,-0,0,-1,0.28,0,2040,0,0.0,0.0,0.0,0.0,0,0,0.0
365,0,0.0,0.3,,,,,,,,,,,,,,,,,,
367,0,0.0,0.3,,,,,,,,,,,,,,,,,,
369,0,0.0,0.3,,,,,,,,,,,,,,,,,,
371,0,0.0,0.3,,,,,,,,,,,,,,,,,,
373,0,0.0,0.3,,-0.03,0.03,0.94,0,-1,-0,0.05,,,,,,,,,,
375,0,0.0,0.3,,,,,,,,,,,,,,,,,,
377,0,0.0,0.3,,,,,,,,,,,,,,,,,,
379,0,0.0,0.31,,,,,,,,,,,,,,,,,,
381,0,0.0,0.3,,,,,,,,,,,,,,,,,,
383,0,0.0,0.3,,0.02,0.12,0.94,-0,0,-0,0.12,0,2040,0,0.0,0.0,0.0,0.0,0,0,0.0
385,0,0.0,0.3,,,,,,,,,,,,,,,,,,
387,0,0.0,0.3,,,,,,,,,,,,,,,,,,
389,0,0.0,0.3,,,,,,,,,,,,,,,,,,
391,0,0.0,0.3,,,,,,,,,,,,,,,,,,
393,0,0.0,0.3,,-0.19,0.08,1.07,0,-0,-1,0.2,,,,,,,,,,
395,0,0.0,0.3,,,,,,,,,,,,,,,,,,
397,0,0.0,0.3,,,,,,,,,,,,,,,,,,
399,0,0.0,0.3,,,,,,,,,,,,,,,,,,
401,0,0.0,0.3,,,,,,,,,,,,,,,,,,
403,0,0.0,0.31,,0.05,0.0,0.95,0,-1,0,0.05,0,2040,0,0.0,0.0,0.0,0.0,0,0,0.0
405,0,0.0,0.31,,,,,,,,,,,,,,,,,,
407,0,0.0,0.32,,,,,,,,,,,,,,,,,,
409,0,0.0,0.31,,,,,,,,,,,,,,,,,,
411,0,0.0,0.31,,,,,,,,,,,,,,,,,,
413,0,0.0,0.31,,-0.04,0.07,0.92,-0,0,-0,0.08,,,,,,,,,,
415,0,0.0,0.31,,,,,,,,,,,,,,,,,,
417,0,0.0,0.31,,,,,,,,,,,,,,,,,,
419,0,0.0,0.31,,,,,,,,,,,,,,,,,,
421,0,0.0,0.31,,,,,,,,,,,,,,,,,,
423,0,0.0,0.31,,-0.23,0.11,1.08,0,-0,-0,0.25,0,2040,0,0.0,0.0,0.0,0.0,0,0,0.0
425,0,0.0,0.31,,,,,,,,,,,,,,,,,,
427,0,0.0,0.3,,,,,,,,,,,,,,,,,,
429,0,0.0,0.31,,,,,,,,,,,,,,,,,,
431,0,0.0,0.31,,,,,,,,,,,,,,,,,,
433,0,0.0,0.31,,0.0,0.05,0.96,0,-1,-0,0.05,,,,,,,,,,
435,0,0.0,0.31,,,,,,,,,,,,,,,,,,
437,0,0.0,0.32,,,,,,,,,,,,,,,,,,
439,0,0.0,0.31,,,,,,,,,,,,,,,,,,
441,0,0.0,0.31,,,,,,,,,,,,,,,,,,
443,0,0.0,0.31,,-0.03,0.07,0.92,-0,-0,-0,0.08,0,2040,0,0.0,0.0,0.0,0.0,0,0,0.0
445,0,0.0,0.31,,,,,,,,,,,,,,,,,,
447,0,0.0,0.31,,,,,,,,,,,,,,,,,,
449,0,0.0,0.31,,,,,,,,,,,,,,,,,,
451,0,0.0,0.31,,,,,,,,,,,,,,,,,,
453,0,0.0,0.31,,-0.13,0.06,1.04,1,0,-0,0.15,,,,,,,,,,
455,0,0.0,0.31,,,,,,,,,,,,,,,,,,
457,0,0.0,0.31,,,,,,,,,,,,,,,,,,
459,0,0.0,0.31,,,,,,,,,,,,,,,,,,
461,0,0.0,0.31,,,,,,,,,,,,,,,,,,
463,0,0.0,0.32,,0.06,0.02,0.98,0,-1,-0,0.06,0,2040,0,0.0,0.0,0.0,0.0,0,0,0.0
465,0,0.0,0.33,,,,,,,,,,,,,,,,,,
467,0,0.0,0.32,,,,,,,,,,,,,,,,,,
469,0,0.0,0.32,,,,,,,,,,,,,,,,,,
