"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"Analog4"|"Volts"|0.0|5.0|500,"Analog5"|"Volts"|0.0|5.0|500,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|200,"AccelY"|"G"|-3.0|3.0|200,"AccelZ"|"G"|-3.0|3.0|200,"Yaw"|"Deg/Sec"|-120|120|200,"Pitch"|"Deg/Sec"|-120|120|200,"Roll"|"Deg/Sec"|-120|120|200,"Gsum"|"G"|0.0|3.0|200,"RPM2"|"rpm"|0|8000|50,"RPM3"|"rpm"|0|8000|50,"GPIO1"|""|0.0|1.0|50,"Latitude"|"Degrees"|-180.0|180.0|50,"Longitude"|"Degrees"|-180.0|180.0|50,"Speed"|"mph"|0.0|150.0|50,"Altitude"|"ft"|0.0|4000.0|50,"GPSSats"|""|0|20|50,"GPSQual"|""|0|5|50,"GPSDOP"|""|0.0|20.0|50
103,0,0.0,0.25,,-0.05,0.09,1.01,0,0,-0,0.1,0,2220,0,0.0,0.0,0.0,0.0,0,0,0.0
105,0,0.0,0.25,,,,,,,,,,,,,,,,,,
107,0,0.0,0.25,,,,,,,,,,,,,,,,,,
109,0,0.0,0.25,,,,,,,,,,,,,,,,,,
111,0,0.0,0.25,,,,,,,,,,,,,,,,,,
113,0,0.0,0.25,,-0.19,0.1,1.04,0,-0,-0,0.22,,,,,,,,,,
115,0,0.0,0.25,,,,,,,,,,,,,,,,,,
117,0,0.0,0.25,,,,,,,,,,,,,,,,,,
119,0,0.0,0.25,,,,,,,,,,,,,,,,,,
121,0,0.0,0.25,,,,,,,,,,,,,,,,,,
123,0,0.0,0.25,,-0.05,0.05,0.98,0,-1,-0,0.07,0,2220,0,0.0,0.0,0.0,0.0,0,0,0.0
125,0,0.0,0.25,,,,,,,,,,,,,,,,,,
127,0,0.0,0.26,,,,,,,,,,,,,,,,,,
129,0,0.0,0.25,,,,,,,,,,,,,,,,,,
131,0,0.0,0.25,,,,,,,,,,,,,,,,,,
133,0,0.0,0.25,,-0.08,0.06,0.96,0,-0,-0,0.1,,,,,,,,,,
135,0,0.0,0.25,,,,,,,,,,,,,,,,,,
137,0,0.0,0.25,,,,,,,,,,,,,,,,,,
139,0,0.0,0.25,,,,,,,,,,,,,,,,,,
141,0,0.0,0.25,,,,,,,,,,,,,,,,,,
143,0,0.0,0.25,,-0.16,0.11,1.04,0,-0,-0,0.2,0,2220,0,0.0,0.0,0.0,0.0,0,0,0.0
145,0,0.0,0.25,,,,,,,,,,,,,,,,,,
147,0,0.0,0.25,,,,,,,,,,,,,,,,,,
149,0,0.01,0.25,,,,,,,,,,,,,,,,,,
151,0,0.0,0.25,,,,,,,,,,,,,,,,,,
153,0,0.0,0.26,,-0.06,0.06,0.97,0,-1,-0,0.08,,,,,,,,,,
155,0,0.0,0.25,,,,,,,,,,,,,,,,,,
157,0,0.0,0.26,,,,,,,,,,,,,,,,,,
159,0,0.0,0.25,,,,,,,,,,,,,,,,,,
