"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"Analog4"|"Volts"|0.0|5.0|500,"Analog5"|"Volts"|0.0|5.0|500,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|200,"AccelY"|"G"|-3.0|3.0|200,"AccelZ"|"G"|-3.0|3.0|200,"Yaw"|"Deg/Sec"|-120|120|200,"Pitch"|"Deg/Sec"|-120|120|200,"Roll"|"Deg/Sec"|-120|120|200,"Gsum"|"G"|0.0|3.0|200,"RPM2"|"rpm"|0|8000|50,"RPM3"|"rpm"|0|8000|50,"GPIO1"|""|0.0|1.0|50,"Latitude"|"Degrees"|-180.0|180.0|50,"Longitude"|"Degrees"|-180.0|180.0|50,"Speed"|"mph"|0.0|150.0|50,"Altitude"|"ft"|0.0|4000.0|50,"GPSSats"|""|0|20|50,"GPSQual"|""|0|5|50,"GPSDOP"|""|0.0|20.0|50
143,0,0.0,0.28,,-0.06,0.09,0.96,-0,1,-0,0.11,0,2100,0,0.0,0.0,0.0,0.0,0,0,0.0
145,0,0.0,0.28,,,,,,,,,,,,,,,,,,
147,0,0.0,0.28,,,,,,,,,,,,,,,,,,
149,0,0.0,0.28,,,,,,,,,,,,,,,,,,
151,0,0.0,0.28,,,,,,,,,,,,,,,,,,
153,0,0.0,0.27,,-0.22,0.11,1.02,0,-1,-0,0.25,,,,,,,,,,
155,0,0.0,0.27,,,,,,,,,,,,,,,,,,
157,0,0.0,0.28,,,,,,,,,,,,,,,,,,
159,0,0.0,0.27,,,,,,,,,,,,,,,,,,
161,0,0.0,0.27,,,,,,,,,,,,,,,,,,
163,0,0.0,0.27,,0.04,0.01,0.84,0,-1,-0,0.05,0,2100,0,0.0,0.0,0.0,0.0,0,0,0.0
165,0,0.0,0.28,,,,,,,,,,,,,,,,,,
167,0,0.0,0.28,,,,,,,,,,,,,,,,,,
169,0,0.0,0.29,,,,,,,,,,,,,,,,,,
171,0,0.0,0.28,,,,,,,,,,,,,,,,,,
173,0,0.0,0.28,,-0.07,0.11,1.01,-0,0,-0,0.13,,,,,,,,,,
175,0,0.0,0.28,,,,,,,,,,,,,,,,,,
177,0,0.0,0.28,,,,,,,,,,,,,,,,,,
179,0,0.0,0.28,,,,,,,,,,,,,,,,,,
181,0,0.0,0.28,,,,,,,,,,,,,,,,,,
183,0,0.0,0.28,,-0.22,0.09,1.05,1,-1,-0,0.23,0,2040,0,0.0,0.0,0.0,0.0,0,0,0.0
185,0,0.0,0.28,,,,,,,,,,,,,,,,,,
187,0,0.0,0.28,,,,,,,,,,,,,,,,,,
189,0,0.0,0.28,,,,,,,,,,,,,,,,,,
191,0,0.0,0.28,,,,,,,,,,,,,,,,,,
193,0,0.0,0.28,,0.13,0.03,0.93,0,-0,-0,0.13,,,,,,,,,,
195,0,0.0,0.28,,,,,,,,,,,,,,,,,,
197,0,0.0,0.28,,,,,,,,,,,,,,,,,,
199,0,0.0,0.29,,,,,,,,,,,,,,,,,,
201,0,0.0,0.29,,,,,,,,,,,,,,,,,,
203,0,0.0,0.28,,-0.19,0.09,0.99,-0,0,-0,0.21,0,2100,0,0.0,0.0,0.0,0.0,0,0,0.0
205,0,0.0,0.28,,,,,,,,,,,,,,,,,,
207,0,0.0,0.28,,,,,,,,,,,,,,,,,,
209,0,0.0,0.28,,,,,,,,,,,,,,,,,,
211,0,0.0,0.28,,,,,,,,,,,,,,,,,,
213,0,0.0,0.28,,-0.19,0.08,1.05,1,-1,-0,0.21,,,,,,,,,,
215,0,0.0,0.28,,,,,,,,,,,,,,,,,,
217,0,0.0,0.28,,,,,,,,,,,,,,,,,,
219,0,0.0,0.29,,,,,,,,,,,,,,,,,,
221,0,0.0,0.28,,,,,,,,,,,,,,,,,,
223,0,0.0,0.28,,0.05,0.03,0.94,-0,-1,-0,0.06,0,2100,0,0.0,0.0,0.0,0.0,0,0,0.0
225,0,0.0,0.29,,,,,,,,,,,,,,,,,,
227,0,0.0,0.3,,,,,,,,,,,,,,,,,,
229,0,0.0,0.28,,,,,,,,,,,,,,,,,,
231,0,0.0,0.29,,,,,,,,,,,,,,,,,,
233,0,0.0,0.29,,-0.13,0.09,0.98,-0,-0,-0,0.16,,,,,,,,,,
235,0,0.0,0.29,,,,,,,,,,,,,,,,,,
237,0,0.0,0.29,,,,,,,,,,,,,,,,,,
239,0,0.0,0.29,,,,,,,,,,,,,,,,,,
241,0,0.0,0.29,,,,,,,,,,,,,,,,,,
243,0,0.0,0.29,,-0.07,0.08,1.03,1,-0,-0,0.1,0,2040,0,0.0,0.0,0.0,0.0,0,0,0.0
245,0,0.0,0.29,,,,,,,,,,,,,,,,,,
