"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"Analog4"|"Volts"|0.0|5.0|500,"Analog5"|"Volts"|0.0|5.0|500,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|200,"AccelY"|"G"|-3.0|3.0|200,"AccelZ"|"G"|-3.0|3.0|200,"Yaw"|"Deg/Sec"|-120|120|200,"Pitch"|"Deg/Sec"|-120|120|200,"Roll"|"Deg/Sec"|-120|120|200,"Gsum"|"G"|0.0|3.0|200,"RPM2"|"rpm"|0|8000|50,"RPM3"|"rpm"|0|8000|50,"GPIO1"|""|0.0|1.0|50,"Latitude"|"Degrees"|-180.0|180.0|50,"Longitude"|"Degrees"|-180.0|180.0|50,"Speed"|"mph"|0.0|150.0|50,"Altitude"|"ft"|0.0|4000.0|50,"GPSSats"|""|0|20|50,"GPSQual"|""|0|5|50,"GPSDOP"|""|0.0|20.0|50
101,0,0.0,0.26,,,,,,,,,,,,,,,,,,
103,0,0.0,0.26,,-0.07,0.07,0.95,-0,1,-1,0.1,0,2100,0,0.0,0.0,0.0,0.0,0,0,0.0
105,0,0.0,0.27,,,,,,,,,,,,,,,,,,
107,0,0.01,0.26,,,,,,,,,,,,,,,,,,
109,0,0.0,0.27,,,,,,,,,,,,,,,,,,
111,0,0.0,0.27,,,,,,,,,,,,,,,,,,
113,0,0.0,0.26,,0.02,0.06,1.01,1,0,-1,0.06,,,,,,,,,,
115,0,0.0,0.27,,,,,,,,,,,,,,,,,,
117,0,0.0,0.27,,,,,,,,,,,,,,,,,,
119,0,0.0,0.27,,,,,,,,,,,,,,,,,,
121,0,0.01,0.27,,,,,,,,,,,,,,,,,,
123,0,0.0,0.28,,0.04,0.01,0.97,-0,0,-0,0.04,0,2100,0,0.0,0.0,0.0,0.0,0,0,0.0
125,0,0.0,0.27,,,,,,,,,,,,,,,,,,
127,0,0.0,0.27,,,,,,,,,,,,,,,,,,
129,0,0.0,0.27,,,,,,,,,,,,,,,,,,
131,0,0.0,0.27,,,,,,,,,,,,,,,,,,
133,0,0.0,0.27,,-0.15,0.07,0.95,-0,-0,-0,0.16,,,,,,,,,,
135,0,0.0,0.27,,,,,,,,,,,,,,,,,,
137,0,0.0,0.27,,,,,,,,,,,,,,,,,,
139,0,0.0,0.27,,,,,,,,,,,,,,,,,,
141,0,0.01,0.27,,,,,,,,,,,,,,,,,,
143,0,0.0,0.27,,-0.02,0.05,0.95,1,-1,-0,0.06,0,2100,0,0.0,0.0,0.0,0.0,0,0,0.0
145,0,0.0,0.27,,,,,,,,,,,,,,,,,,
147,0,0.0,0.27,,,,,,,,,,,,,,,,,,
149,0,0.0,0.27,,,,,,,,,,,,,,,,,,
151,0,0.0,0.27,,,,,,,,,,,,,,,,,,
153,0,0.0,0.28,,-0.04,0.1,1.01,-0,0,-0,0.11,,,,,,,,,,
155,0,0.01,0.27,,,,,,,,,,,,,,,,,,
157,0,0.0,0.27,,,,,,,,,,,,,,,,,,
159,0,0.0,0.27,,,,,,,,,,,,,,,,,,
161,0,0.0,0.27,,,,,,,,,,,,,,,,,,
163,0,0.0,0.27,,-0.29,0.11,1.0,0,-1,-0,0.31,0,2100,0,0.0,0.0,0.0,0.0,0,0,0.0
165,0,0.0,0.28,,,,,,,,,,,,,,,,,,
167,0,0.0,0.28,,,,,,,,,,,,,,,,,,
169,0,0.01,0.28,,,,,,,,,,,,,,,,,,
171,0,0.0,0.28,,,,,,,,,,,,,,,,,,
173,0,0.0,0.28,,0.07,0.02,0.98,1,-1,-1,0.07,,,,,,,,,,
175,0,0.0,0.27,,,,,,,,,,,,,,,,,,
177,0,0.0,0.28,,,,,,,,,,,,,,,,,,
179,0,0.0,0.28,,,,,,,,,,,,,,,,,,
181,0,0.0,0.28,,,,,,,,,,,,,,,,,,
183,0,0.01,0.28,,-0.12,0.06,1.0,-0,0,-0,0.14,0,2100,0,0.0,0.0,0.0,0.0,0,0,0.0
185,0,0.0,0.28,,,,,,,,,,,,,,,,,,
187,0,0.0,0.28,,,,,,,,,,,,,,,,,,
189,0,0.0,0.28,,,,,,,,,,,,,,,,,,
191,0,0.0,0.28,,,,,,,,,,,,,,,,,,
193,0,0.0,0.28,,-0.21,0.13,1.04,0,-1,-0,0.25,,,,,,,,,,
195,0,0.0,0.28,,,,,,,,,,,,,,,,,,
197,0,0.0,0.28,,,,,,,,,,,,,,,,,,
199,0,0.0,0.28,,,,,,,,,,,,,,,,,,
201,0,0.0,0.28,,,,,,,,,,,,,,,,,,
