"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"Analog4"|"Volts"|0.0|5.0|500,"Analog5"|"Volts"|0.0|5.0|500,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|200,"AccelY"|"G"|-3.0|3.0|200,"AccelZ"|"G"|-3.0|3.0|200,"Yaw"|"Deg/Sec"|-120|120|200,"Pitch"|"Deg/Sec"|-120|120|200,"Roll"|"Deg/Sec"|-120|120|200,"Gsum"|"G"|0.0|3.0|200,"RPM2"|"rpm"|0|8000|50,"RPM3"|"rpm"|0|8000|50,"GPIO1"|""|0.0|1.0|50,"Latitude"|"Degrees"|-180.0|180.0|50,"Longitude"|"Degrees"|-180.0|180.0|50,"Speed"|"mph"|0.0|150.0|50,"Altitude"|"ft"|0.0|4000.0|50,"GPSSats"|""|0|20|50,"GPSQual"|""|0|5|50,"GPSDOP"|""|0.0|20.0|50
159,0,0.0,0.59,,,,,,,,,,,,,,,,,,
161,0,0.0,0.59,,,,,,,,,,,,,,,,,,
163,0,0.0,0.59,,-0.18,0.1,0.95,0,-0,-1,0.21,0,1920,0,0.0,0.0,0.0,0.0,0,0,0.0
165,0,0.0,0.59,,,,,,,,,,,,,,,,,,
167,0,0.0,0.59,,,,,,,,,,,,,,,,,,
169,0,0.0,0.59,,,,,,,,,,,,,,,,,,
171,0,0.0,0.59,,,,,,,,,,,,,,,,,,
173,0,0.0,0.59,,-0.05,0.04,1.03,0,-1,-0,0.06,,,,,,,,,,
175,0,0.0,0.59,,,,,,,,,,,,,,,,,,
177,0,0.0,0.59,,,,,,,,,,,,,,,,,,
179,0,0.0,0.59,,,,,,,,,,,,,,,,,,
181,0,0.0,0.59,,,,,,,,,,,,,,,,,,
183,0,0.0,0.6,,-0.01,0.07,0.96,-0,0,-0,0.07,0,1980,0,0.0,0.0,0.0,0.0,0,0,0.0
185,0,0.0,0.59,,,,,,,,,,,,,,,,,,
187,0,0.0,0.59,,,,,,,,,,,,,,,,,,
189,0,0.0,0.59,,,,,,,,,,,,,,,,,,
191,0,0.0,0.59,,,,,,,,,,,,,,,,,,
193,0,0.0,0.59,,-0.12,0.11,0.95,0,-1,-1,0.17,,,,,,,,,,
195,0,0.0,0.59,,,,,,,,,,,,,,,,,,
197,0,0.0,0.59,,,,,,,,,,,,,,,,,,
199,0,0.0,0.59,,,,,,,,,,,,,,,,,,
201,0,0.0,0.59,,,,,,,,,,,,,,,,,,
203,0,0.01,0.6,,-0.08,0.05,0.95,0,-1,-0,0.09,0,1980,0,0.0,0.0,0.0,0.0,0,0,0.0
205,0,0.0,0.59,,,,,,,,,,,,,,,,,,
207,0,0.0,0.59,,,,,,,,,,,,,,,,,,
209,0,0.0,0.59,,,,,,,,,,,,,,,,,,
211,0,0.0,0.59,,,,,,,,,,,,,,,,,,
213,0,0.0,0.59,,-0.01,0.09,1.03,-0,-0,-0,0.09,,,,,,,,,,
215,0,0.0,0.59,,,,,,,,,,,,,,,,,,
